ac 寸
ah 亍
ai 七
aj 丌
ak 丅
ak 下
an 丁
ao {奉下}
ao 㐄
ao 扌
ar 耳
au {于下}
aw 瓦
bc 丑
bd 刀
bh {眉上}
bh 尸
bi 已
bj 己
bk 飛
bm {互中}
bm {母框}
bm 彑
bm 母
bs 糸
bu {鼠下}
bu コ
bu ス
bu マ
bu ユ
bu 又
bu 癶
cb 巴
ci {五下}
cj 阝
ck 巳
cn 女
cu 予
cy 乜
cy 也
dd 壴
de 頁
dg 古
dh 丆
dh 石
di 十
dj 其
dk 走
dl 來
dm {馬上}
dm 馬
dn 丰
do 尢
do 尤
ds {豕下}
ds 豕
du 不
dw 戊
dx 西
dy 雨
eb 白
ee 亻
eh 夊
ei 欠
ej ⺁
ej 斤
ek 爪
en 壬
eo 夭
ew 乌
fa 三
fi 一
fk 正
fo 工
fu 甫
fv 木
fv 朩
gc {專上}
gc 叀
gc 車
gd 大
ge 革
gf {畏下}
gf 匚
gg 戈
gi 面
gn 王
go 酉
gu 夫
gu 𡗗
gy 弋
ha 長
ha 镸
ha 髟
hc 车
he 未
hf {穀框}
hf 士
hf 龶
hg 干
hi 世
hk 至
ho 末
hs 示
ht 土
ht 耂
hw 兀
hy 牙
id 立
ie 戶
ie 户
ie 戸
il {鹿上}
il 鹿
is {兴上}
is ⺍
is 氵
ja {亜下}
ja {亞下}
ja {亞中}
ja {斲左}
jd 早
je 曰
jr {曾中}
jr {横日}
jr 日
js 山
jt 田
jv {黽中}
kb 贝
kc 虫
kd 电
ke 申
kf {冂丶}
kf {雋下}
kf 冂
kg 业
ki 页
kj 甲
kk 里
kl 鹵
kn 門
ko 由
kq 曲
ks {丄丶}
ks 丄
ks 上
kv 水
kx 见
ky 禺
li 非
ll 〇
lv 口
ma {步下}
ma ⺌
ma 小
mb 貝
mc 齒
md 刂
mf 目
mg 骨
mi {具上}
mi 且
mn 皿
mo {乍下}
mo {龍右}
mo ⺊
mo 卜
mu {虍上}
mu 虍
mu 虎
mv 巾
mw 罒
mx 見
na 冎
na 咼
nc 冊
nd 鬥
ne 黑
nf 龰
ni 止
ns 〢
ns 〣
ns 丨
ns 尚
ns 龸
nv 足
nw 囗
oa 讠
ob 亠
ob 宀
od 丶
od 乀
og 方
oi 亥
ol {京上}
ol {亮上}
ol {襄上}
ol 高
ox 辛
pa 麻
pb 疒
pd ⻍
pd 辶
pe 之
pi 亦
pm 米
pn 门
pw 文
px 穴
py 衤
qc 川
qh 殳
qi 矢
qj 几
qk {⺮右}
qk {乞上}
qk ⺮
qk 竹
qo 舟
qp 丿
qq 气
qr {荒下}
qr 儿
qu 瓜
qy 鱼
rc 彳
re 舌
rf 風
rh 禾
ri {微上}
ri 匕
rj ⺽
rj 臼
rk 夕
rl 僉
rm 毛
rn {向框}
rn {囟框}
rn 向
ro {鳥上}
ro 鳥
rq 犭
rs 饣
ru 入
ry {衣下}
sc {姬右}
sc {弬右}
sc 臣
sh 厂
si {飞右}
si ⺀
si 二
si 冫
sj {冓上}
sj {華中}
sj 卄
sj 廾
sj 艹
sj 龷
sk 丂
sn 辰
so ナ
sq 犬
sr 而
ss 卅
ss 卌
sv {曹上}
te 人
th 长
ti {介下}
ti 八
tj 钅
tk 自
tm {乐上}
tm {卬左}
tm {卯左}
tm {齊右}
tm 卯
tn 用
to {二撇}
to 彡
tp 片
tu 手
tu 龵
ty 魚
ua 言
ue リ
ue 䒑
ue 丬
ue 丷
ug {南心}
ug ⺷
ug 羊
uo 火
uo 灬
uu 广
uw {贏框}
uw 亡
vc 巛
vc 巜
vg 弓
vi 㔾
vi 乙
vj 乃
vk 子
vl 了
vn 艮
vo 幺
vp 皮
vs {纟上}
vs 纟
vv 厶
wg 生
wi 隹
wj 金
wk 千
wl {鬯中}
wl 乂
wm 身
wn ⺧
wn 牛
wo 缶
wu {卑上}
wu {鬼左}
wu 甶
wu 鬼
ww {爲下}
wy {周框}
wy {炙上}
wy {祭上}
wy 勹
wy 月
xd 隶
xg {发左}
xg ㄩ
xg 丩
xg 丱
xg 屮
xi 乚
xi 习
xj ㄗ
xj 卩
xk 力
xl {反彐}
xl 彐
xl 肀
xm 马
xn 廴
xp 爿
ya {鸟上}
ya 鸟
yd {阜上}
ye {僉上}
ye {龠上}
ye 合
yf 九
yi 心
yi 忄
yk 豸
ym ⺈
ym 冖
ys 食
yv {奐上}
yw {烏上}
yw 烏
