bbi 灬
bbu 卜
bbu ⺊
be 魚
bga 瓜
bhu 虍
bhu 虎
bhu {虍上}
bi 亦
bki 示
blu 鹵
bma 馬
bma {馬上}
bo {龍右}
bo {乍下}
bsa 爪
cbo 癶
cfo 飛
che 禾
ci 乚
ci 乙
cke 生
cki 世
cko 氵
cle 來
cne 女
co ス
co マ
co {鼠下}
cu 又
da 言
dda 电
di 已
dja 甲
dji 己
dji 彑
djo 金
dke 口
dli 〇
dma 宀
dme 母
dmo 末
do {母框}
do {兴上}
do 未
do {互中}
dre 长
dxi ⺍
fa 牙
fde {斲左}
fe 鱼
ffe 匚
fi 一
fke 手
fke 龵
fki 食
fko 水
fma 面
fne 乃
fo {奉下}
fo {亞中}
fo 廴
fo {亞下}
fo {亜下}
fo 而
fo 㐄
fpe 丿
fsu 壴
gbi 疒
gbo 貝
ge 頁
gge 革
ggo 广
gi 夭
gju 九
gke 扌
gki 豕
gki {豕下}
glu {鹿上}
glu 鹿
gma 麻
gme 目
gmo 皿
gnu 牛
gnu ⺧
go 儿
go {黽中}
go {荒下}
go 罒
hbi {周框}
hbi 勹
hbo 贝
hce 冊
hdi 丁
he 页
hhe 亥
hji {冂丶}
hji 冂
hji {雋下}
hni {鸟上}
hni 鸟
hqi 其
hre 辰
hri 齒
hse 舟
hsi 止
hsi 龰
hta 田
hu 乌
hxa 丅
hxa 下
hxi 习
hxo 忄
hze 走
hzi 自
jba 巴
jci 寸
jdi 刀
je 曰
jfe 丰
jfu {卑上}
jfu 甶
jgo {鬼左}
jgo 鬼
ji {曾中}
ji {横日}
ji 日
jja 見
jke 上
jke 丄
jke {丄丶}
jki 矢
jme 门
jo {介下}
jo {于下}
jpa 片
jpa 爿
jsi 巳
jxi 夕
jxo 心
jzi 早
kba 八
kbe 白
kci 屮
ke 入
kfu 甫
kge 戈
kgi 弓
kgu 古
ki 弋
ki {姬右}
ki {弬右}
kju ⺽
kju 臼
kka 彡
kka {二撇}
kka ㄩ
kki 饣
kli 里
kma 马
ko 囗
ko {微上}
ko {具上}
kqa 千
kqe 且
kqo 丬
kre 臣
kri 彳
ksa 三
ksi 之
ksi 纟
ksi {纟上}
ku 戊
kxo 辛
lbi 髟
lbi 匕
le 予
lfe 方
lfo 非
lga 干
lgi 高
lgi 丨
li 幺
lle 了
llo {贏框}
lo {京上}
lo {亮上}
lo 〢
lo {襄上}
lo 〣
lo 亡
lqa 欠
lqe 曲
lre 長
lre 镸
lro 辶
lro ⻍
lse 正
lsi 糸
lte 亠
lu 兀
lxe 穴
lxi ⺌
lxi {步下}
lxi 小
lxo 向
lxo {向框}
lzi 子
ma 瓦
mbu 不
mci 卄
mci {華中}
mci 龷
mci 廾
mci {冓上}
mci 艹
mdo {阜上}
me 也
mfe 風
mge 艮
mgi 工
mme 乜
mo 耳
mo ユ
mo コ
mo {曹上}
mqi 七
mre 丑
mri 虫
msa 卅
mu {五下}
mxi 卌
mzo ナ
nda 丶
nda 乀
ne {炙上}
ne 月
nfe 缶
nmi ⺈
nmi 冖
no {奐上}
no {囟框}
no {祭上}
no 壬
nre 丆
nre 厂
nri 川
nri 巜
nri 巛
nru 亍
nsi 厶
nzu 足
pda 大
pdi 𡗗
pe 雨
pfu 夫
pqi 犭
pqi 犬
psi 豸
qgi 丱
qji 几
qju 丩
qju {发左}
qku 殳
qmi 卯
qo {卬左}
qo {齊右}
qo {卯左}
qo {乐上}
rde 鬥
rho 黑
ri 文
rje ㄗ
rje 㔾
rje 卩
rji 丌
rke 身
rki 石
rli 立
rme 門
rmi 毛
rni {鳥上}
rni 鳥
ro 王
rre 叀
rre {專上}
rre 車
ru 烏
ru {烏上}
se 肀
shu 戸
shu 户
si 用
sji {反彐}
sji 彐
ske 舌
ski 丂
ski {眉上}
ski 尸
sli 隶
sme 木
sme 朩
so 冫
so {飞右}
so 尢
so ⺀
so 二
so {爲下}
ssi 至
su 尤
tho 火
ti 衤
tjo 巾
tke 尚
tki 十
to {畏下}
to {衣下}
to 龸
tpi 皮
tpu 夊
tu 由
va 讠
vdu 土
ve 业
vhu 戶
vi {鬯中}
vi 乂
vi ⺁
vja 见
vjo 斤
vka 山
vke 龶
vki 士
vli 耂
vmi 米
vo {穀框}
vre 车
wco 隹
we 禺
wga 冎
wga 咼
wgu 骨
whe 合
wke 申
wli 力
wo 亻
wo 人
wo {僉上}
wo {龠上}
wqa 僉
xba リ
xba 丷
xci 䒑
xjo 钅
xo 羊
xo {南心}
xo ⺷
ydi 刂
yfu 阝
yo {乞上}
yqi 气
ysu ⺮
ysu {⺮右}
ysu 竹
yu 酉
yxi 西
